constructor,target,variant,kind,ema_error,anchor_error,passage_error,ema_v,ema_a,anchor_v,anchor_a,passage_v,passage_a,tail_v,tail_a,target_v,target_a
valley,calm,shuffle2,shuffled,0.3185798158120236,0.2710872357550751,0.07822513133622482,0.4891544163018343,0.38290073949546,0.5662841638662217,0.39934086621411674,0.6756295184949566,0.22425288958614237,0.7152499999999999,0.21118333333333333,0.75,0.2
valley,calm,shuffle3,shuffled,0.3860322272933273,0.2613219993543115,0.05289604278130812,0.4114624139455772,0.38550790640156396,0.5835354150732383,0.4014416275542265,0.7001297253636318,0.18236630924578773,0.6839583333333333,0.223125,0.75,0.2
valley,calm,shuffle4,shuffled,0.35050518318175916,0.24938554246736863,0.03987423771150838,0.45335536429124396,0.38669719746824793,0.6071474171384798,0.40441694734423617,0.7103799127459858,0.1955051675161163,0.7209166666666667,0.20662499999999998,0.75,0.2
valley,calm,shuffle5,shuffled,0.30234837131490183,0.25053713428280605,0.06306567389749523,0.5156857095647105,0.39107943618971813,0.5869053793138781,0.3901814932055451,0.687358317957482,0.19269939077683967,0.7518541666666666,0.2104166666666667,0.75,0.2
valley,calm,shuffle6,shuffled,0.395282548862392,0.28020332311551677,0.06118798606886922,0.4011784240969292,0.3859349392116703,0.5607765050459173,0.40666003784559057,0.6925509733904373,0.2210613147922414,0.6949583333333333,0.22041666666666668,0.75,0.2
valley,calm,shuffle7,shuffled,0.3072438233602974,0.2544178780504051,0.02457549295743756,0.5012802813749723,0.3803808985456627,0.6044430339780952,0.4086663037343808,0.7256556356364295,0.203362555253789,0.7139374999999999,0.2137875,0.75,0.2
valley,calm,reversed,reversed,0.3557942263895923,0.24893178474148017,0.02178496856002445,0.43116086935677633,0.35789597937516265,0.5981179544029585,0.397227984018082,0.7283865807561811,0.202728546087603,0.75045,0.20100833333333334,0.75,0.2
valley,focused,ordered,ordered,0.21869284265509137,0.190327669326722,0.19645052740292965,0.4350989218625394,0.5594526690900425,0.5918732147749184,0.4187656253611383,0.641796585816956,0.4037208271042731,0.6496833333333333,0.6000333333333334,0.65,0.6
valley,focused,shuffle0,shuffled,0.2524453580429604,0.19442700210160568,0.19472547923507677,0.48809981793869894,0.4063069700635667,0.584992642040893,0.4167627151549273,0.7008397466915185,0.41202837336535986,0.7223875000000001,0.2697583333333333,0.65,0.6
valley,focused,shuffle1,shuffled,0.25215676106592977,0.20482130816105817,0.2349279101940417,0.4407626942910348,0.45927764196506143,0.5452223570706725,0.42400734725852474,0.617237576055867,0.3673677869136679,0.7008833333333334,0.3914833333333333,0.65,0.6
