id,constructor,generator,target,length,intensity,style,placement_error,displacement,adherence,stability,basq_displacement,low_freq_fraction,spectral_centroid,path_dirichlet,mismatch_placement_error,nv_ratio,and_initial_per_1000,then_per_1000,subordinator_per_1000,noun_shen,noun_apen,cv_line_len
harmonic-golden-psg-rescue-56f69a2d,harmonic-golden,psg,rescue,short,plain,unfiltered,0.3487799392476853,0.09653043521069854,0.3410112721929301,0.013004295413556532,-0.0694360974655342,0.09468061866464166,0.2878410451771183,0.0030695791932661928,0.5467745452684427,0.5,0.0,0.0,0.0,-0.0,,0.24753394061200534
graph-walk-psg-calm-7882d64d,graph-walk,psg,calm,medium,plain,unfiltered,0.3510374379501418,-0.0639826474535149,0.24992251751194094,0.015758312831227486,-0.05247431058816249,0.21724678802058786,0.25955895862893663,0.00011608525878709037,0.5924453161873008,0.390625,0.0,0.0,81.63265306122449,1.3709505944546687,-0.2876820724517808,0.09787411272066773
harmonic-golden-psg-rescue-d99e4151,harmonic-golden,psg,rescue,medium,plain,unfiltered,0.3526038816468247,0.0928273043775168,0.30187226912567594,0.01782019408778733,-0.0694360974655342,0.12010021453629824,0.281083012693713,0.004482063355464209,0.5593419507128281,0.6538461538461539,19.047619047619047,0.0,0.0,2.0,-0.4054651081081645,0.26238052026582687
harmonic-prime-psg-rescue-1ba0ffa1,harmonic-prime,psg,rescue,medium,plain,unfiltered,0.35389487208387,0.09153631394047151,0.30771370069094034,0.030447896054777518,-0.0694360974655342,0.11632377601241962,0.28003888670915067,0.0038263789464767803,0.5698322335236986,0.6666666666666666,9.433962264150944,0.0,0.0,2.0,-0.4054651081081645,0.2607599049261368
harmonic-golden-psg-calm-e6f4d11f,harmonic-golden,psg,calm,medium,heightened,unfiltered,0.35771450356952245,-0.14249885869061818,0.26547834709591184,0.02955411716614282,-0.0694360974655342,0.19502867382483985,0.26683627082588635,0.002199155045968931,0.5612201305263275,0.31343283582089554,7.142857142857143,0.0,21.428571428571427,1.9219280948873623,-0.2876820724517808,0.30772370326482884
harmonic-golden-psg-rescue-91653d2f,harmonic-golden,psg,rescue,medium,heightened,unfiltered,0.35842722064483623,0.08700396537950528,0.30739360335710997,0.01785911458784667,-0.0694360974655342,0.12897583383074002,0.28214156764316434,0.004587323078424673,0.5623932140189546,0.6379310344827587,25.423728813559322,0.0,8.474576271186441,2.0,-0.4054651081081645,0.32114059866943073
harmonic-golden-psg-calm-6c7c3bcf,harmonic-golden,psg,calm,long,plain,unfiltered,0.3594604920321929,-0.1443131002394183,0.2339756602552113,0.031620186580537765,-0.0694360974655342,0.18324599710411543,0.2684293282765866,0.0020371245936805665,0.5922853377636454,0.3333333333333333,10.75268817204301,0.0,32.25806451612903,2.2998963911678914,0.03326892045416319,0.3046173278847256
harmonic-prime-psg-calm-fc74a346,harmonic-prime,psg,calm,medium,plain,unfiltered,0.3629995296691465,-0.14778388479024224,0.24886414202883833,0.01850539405964843,-0.0694360974655342,0.1733178213452167,0.27178264524293405,0.002197181094994816,0.5764507023528986,0.32075471698113206,9.00900900900901,0.0,18.01801801801802,1.5,-0.4054651081081645,0.2778224134253923
graph-walk-word-template-focused-c375e4fc,graph-walk,word-template,focused,medium,plain,unfiltered,0.36416068061546136,-0.15721253520125864,0.11486994340935618,0.017721008724507766,-0.1751275166900108,,,,,0.6578947368421053,0.0,0.0,0.0,-0.0,,0.1950955759032588
harmonic-golden-word-template-focused-4f249b05,harmonic-golden,word-template,focused,medium,plain,unfiltered,0.3660264776319874,-0.15906645312154963,0.16795275845093802,0.027065112658607077,-0.15882795998633542,,,,,0.6666666666666666,0.0,0.0,0.0,1.0,,0.1950955759032588
