model,constructor,length,start_v,start_a,variant,ema_error,passage_error,passage_v,passage_a,n_unique_lines
gemma9b,harmonic-golden,medium,0.25,0.8,"medium/(0.25, 0.8)",0.15810410574374376,0.15529736496264962,0.6934216826476503,0.4508965827340327,24
gemma9b,harmonic-golden,medium,0.75,0.25,"medium/(0.75, 0.25)",0.1587306756725863,0.20156890747316217,0.7743148422989002,0.4413310224268027,24
gemma9b,harmonic-golden,medium,0.4,0.65,"medium/(0.4, 0.65)",0.17113153456729813,0.194142721369472,0.6750585757807313,0.4074812631441142,24
gemma9b,harmonic-golden,long,0.5,0.5,"long/(0.5, 0.5)",0.1633804485878412,0.18778406412539625,0.6285037810350007,0.4134503623437994,56
gemma9b,harmonic-golden,long,0.25,0.8,"long/(0.25, 0.8)",0.1616349098267974,0.16439292749132606,0.6497734356784459,0.4356072286328362,56
gemma9b,harmonic-golden,long,0.75,0.25,"long/(0.75, 0.25)",0.1671642824376647,0.2312139010958961,0.7521338407555792,0.39256676584380984,56
gemma9b,harmonic-golden,long,0.4,0.65,"long/(0.4, 0.65)",0.1692619705781783,0.1683884258401682,0.628222569398703,0.43302573409852785,56
gemma9b,harmonic-prime,short,0.5,0.5,"short/(0.5, 0.5)",0.16003168627480327,0.08076714241864152,0.6876217010263566,0.5285301538664272,8
gemma9b,harmonic-prime,short,0.25,0.8,"short/(0.25, 0.8)",0.15557409940543468,0.0663959843747933,0.6827510386587842,0.5422436479002645,8
gemma9b,harmonic-prime,short,0.75,0.25,"short/(0.75, 0.25)",0.18540639086989325,0.10794551929192772,0.6843688686569761,0.49767201750037543,8
gemma9b,harmonic-prime,short,0.4,0.65,"short/(0.4, 0.65)",0.1717231056116801,0.09565454820446893,0.5771069466344724,0.5380613580771146,8
gemma9b,harmonic-prime,medium,0.5,0.5,"medium/(0.5, 0.5)",0.1868079954566321,0.17849326672386465,0.7116891422126693,0.43250583294089984,24
gemma9b,harmonic-prime,medium,0.25,0.8,"medium/(0.25, 0.8)",0.15815265157254657,0.17628202573930457,0.7323016448279945,0.44410968003958845,24
gemma9b,harmonic-prime,medium,0.75,0.25,"medium/(0.75, 0.25)",0.15881840262872823,0.24193549120219923,0.8214777185213826,0.4293302195643561,24
gemma9b,harmonic-prime,medium,0.4,0.65,"medium/(0.4, 0.65)",0.18128214102007645,0.15663948699502903,0.6597272059884494,0.4436628311957641,24
gemma9b,harmonic-prime,long,0.5,0.5,"long/(0.5, 0.5)",0.16068486893373238,0.17949795041282904,0.6811137024238678,0.42321919865583413,56
gemma9b,harmonic-prime,long,0.25,0.8,"long/(0.25, 0.8)",0.17985294645606656,0.18178653749603552,0.6717224532342033,0.4195159834215634,56
gemma9b,harmonic-prime,long,0.75,0.25,"long/(0.75, 0.25)",0.15061505198217223,0.19550319147559012,0.7290966290078609,0.42121179804938447,56
gemma9b,harmonic-prime,long,0.4,0.65,"long/(0.4, 0.65)",0.18776350665903008,0.1724633164474586,0.6596384298993755,0.42780622488274705,56
gemma9b,harmonic-organic,short,0.5,0.5,"short/(0.5, 0.5)",0.15987077912115286,0.06851682893166121,0.6790846947231557,0.5379626211086302,8
gemma9b,harmonic-organic,short,0.25,0.8,"short/(0.25, 0.8)",0.13834907221297277,0.09179263731417156,0.697875415449069,0.5216812100408204,8
gemma9b,harmonic-organic,short,0.75,0.25,"short/(0.75, 0.25)",0.190725923010451,0.10783478206194021,0.6838462715198665,0.49761460003228186,8
gemma9b,harmonic-organic,short,0.4,0.65,"short/(0.4, 0.65)",0.14959592977787672,0.0781473208503734,0.6271616208803508,0.525264384693251,8
gemma9b,harmonic-organic,medium,0.5,0.5,"medium/(0.5, 0.5)",0.1616887575567697,0.14319503947864637,0.684182567578873,0.46094471816933064,24
gemma9b,harmonic-organic,medium,0.25,0.8,"medium/(0.25, 0.8)",0.18419403084702107,0.16343851595473374,0.7229482536887346,0.4537443991457087,24
gemma9b,harmonic-organic,medium,0.75,0.25,"medium/(0.75, 0.25)",0.21504230382388453,0.16373949004809046,0.751437091672541,0.4714654247518387,24
gemma9b,harmonic-organic,medium,0.4,0.65,"medium/(0.4, 0.65)",0.16046192161505277,0.18608998031139246,0.685252637315042,0.41727963349799085,24
gemma9b,harmonic-organic,long,0.5,0.5,"long/(0.5, 0.5)",0.15609211480513652,0.19205104835773382,0.6691442363123435,0.40890551187613555,56
gemma9b,harmonic-organic,long,0.25,0.8,"long/(0.25, 0.8)",0.16945287525902228,0.1894586933594291,0.7061053875008432,0.41903928055281603,56
gemma9b,harmonic-organic,long,0.75,0.25,"long/(0.75, 0.25)",0.1408014124143052,0.17158241976543176,0.7137055486826087,0.4406822990386548,56
gemma9b,harmonic-organic,long,0.4,0.65,"long/(0.4, 0.65)",0.18606160739845193,0.22228422835216854,0.6735353332593512,0.37896523743426624,56
gemma9b,graph-walk,short,0.5,0.5,"short/(0.5, 0.5)",0.15250992782931735,0.03077761253064296,0.6669543482651397,0.5743132036253886,7
gemma9b,graph-walk,short,0.25,0.8,"short/(0.25, 0.8)",0.180262173505441,0.1497173059159657,0.534009094035951,0.5053354267723453,4
gemma9b,graph-walk,short,0.75,0.25,"short/(0.75, 0.25)",0.17876608990616147,0.13217982476227677,0.6245899329095287,0.4702855653188746,6
gemma9b,graph-walk,short,0.4,0.65,"short/(0.4, 0.65)",0.18511867464212337,0.12657412773080115,0.6200468622299609,0.4770210613619461,5
gemma9b,graph-walk,medium,0.5,0.5,"medium/(0.5, 0.5)",0.18397713952696235,0.059758617162003674,0.6170026972161082,0.5501776121196195,7
gemma9b,graph-walk,medium,0.25,0.8,"medium/(0.25, 0.8)",0.21854429346344195,0.15223283746184849,0.5252106743646346,0.5128079074161176,4
gemma9b,graph-walk,medium,0.75,0.25,"medium/(0.75, 0.25)",0.20576129445010108,0.14856238886474432,0.5784758730346009,0.4697883160118226,6
gemma9b,graph-walk,medium,0.4,0.65,"medium/(0.4, 0.65)",0.20768348521948304,0.14268009698185327,0.5760994034019545,0.47794955183530047,5
gemma9b,graph-walk,long,0.5,0.5,"long/(0.5, 0.5)",0.2277344390893415,0.09378435499286772,0.5728871675692566,0.5466228858410618,7
gemma9b,graph-walk,long,0.25,0.8,"long/(0.25, 0.8)",0.2436373610984826,0.12606564926543004,0.5494930955676159,0.5239019705502564,4
gemma9b,graph-walk,long,0.75,0.25,"long/(0.75, 0.25)",0.23365880081493537,0.14053761841586734,0.5667544490654578,0.4867701433383912,6
gemma9b,graph-walk,long,0.4,0.65,"long/(0.4, 0.65)",0.23677697082089866,0.14941760532503182,0.5536143017110269,0.48582724516587145,5
gemma9b,polygon-pca,short,0.5,0.5,"short/(0.5, 0.5)",0.16864197546470402,0.02795525037600401,0.6423473635039947,0.6268874167268832,8
gemma9b,polygon-pca,short,0.25,0.8,"short/(0.25, 0.8)",0.15806952370704788,0.14494952908788106,0.5126890801729983,0.6464335792187204,8
gemma9b,polygon-pca,short,0.75,0.25,"short/(0.75, 0.25)",0.15063650023491992,0.14419915420817514,0.7288980232007366,0.4792999668211764,8
gemma9b,polygon-pca,short,0.4,0.65,"short/(0.4, 0.65)",0.15430032735402655,0.10684639518139917,0.5479343214790112,0.6316029971887143,8
gemma9b,polygon-pca,medium,0.5,0.5,"medium/(0.5, 0.5)",0.21440099166867152,0.03439884229027605,0.6313849567059744,0.5710731869354255,24
gemma9b,polygon-pca,medium,0.25,0.8,"medium/(0.25, 0.8)",0.13383575585089608,0.15291713475052182,0.5373982277566547,0.7034625100602485,24
gemma9b,polygon-pca,medium,0.75,0.25,"medium/(0.75, 0.25)",0.14293395914186993,0.12416718696643016,0.7618410161132593,0.5460641359213546,24
gemma9b,polygon-pca,medium,0.4,0.65,"medium/(0.4, 0.65)",0.18335634758443028,0.07989095474400026,0.5936736362063724,0.6566560269670916,24
gemma9b,polygon-pca,long,0.5,0.5,"long/(0.5, 0.5)",0.18938204383750573,0.014212921981395208,0.6367578310247816,0.5948374316390977,55
gemma9b,polygon-pca,long,0.25,0.8,"long/(0.25, 0.8)",0.13858105801980503,0.058548517444480454,0.6078591747868975,0.6406457838564515,53
gemma9b,polygon-pca,long,0.75,0.25,"long/(0.75, 0.25)",0.16988662075145278,0.1501848652447308,0.7626136598088521,0.5006337211472922,56
gemma9b,polygon-pca,long,0.4,0.65,"long/(0.4, 0.65)",0.16558131259987283,0.10025407098285376,0.5597226146295078,0.643598995852,55
