target,seed,orig_score,closing,residual_grain,dist_to_mid,probe_v,probe_a,deep_v,deep_a,panas_pa,panas_na,panas_inspired,basq_v,basq_a,secs,score
hub_09,2,1.757918572284089,0.4454177683417523,0.8400254870140368,0.885116915658675,0.581434320144234,0.3426337191092835,0.6412169043070587,0.2883573673251685,2.3519864478024037,1.6208767759720142,2.923254043213102,0.5194444444444444,0.5444444444444445,26.9,-0.5718446415286831
hub_09,3,1.757918572284089,0.3844774057966609,0.9323318300656084,0.7755244169259533,0.4785954448902636,0.4120427334566617,0.6126331638120631,0.4589923074238291,2.5864571964402865,1.7641309338806603,3.342513782180008,0.48863636363636365,0.5472727272727272,26.9,0.14217753531756255
hub_09,4,1.757918572284089,0.4206118178599213,0.8775990504007322,0.819757030455074,0.49265157452610786,0.4313661077858109,0.6003844231178788,0.3353059836747452,2.1654265393391094,1.4896841810650332,2.4667169414600254,0.425,0.5599999999999999,25.8,-1.272077903720754
gap_14,0,0.9637556034191408,0.40538057590075116,1.1717875543515976,1.2029019099173253,0.4613309971096727,0.3988498725320848,0.4874381023990234,0.42527431520381354,2.59443633736836,2.4161650997576247,3.0193537029364155,0.45416666666666666,0.5466666666666666,26.7,-1.4167416815731628
gap_14,1,0.9637556034191408,0.47117176983399556,1.0421360510329971,1.0109098391951832,0.4976491615378481,0.4549185015592871,0.5611626336729243,0.4554518805959904,2.726234491835965,1.9976077999855115,3.239501860290063,0.3926470588235294,0.556470588235294,25.6,-0.1585704360560875
gap_14,2,0.9637556034191408,0.5846500440347446,0.8185099399298033,1.1689701848115734,0.6266333812581817,0.38664214908022143,0.8049133439785807,0.3818227923395181,2.8516939011264975,2.1003738537158614,3.8444244775996474,0.5291666666666667,0.5666666666666667,26.8,0.6801857899356832
gap_14,3,0.9637556034191408,0.482701116290122,1.0194157291942647,1.3950842352628163,0.28743368598501073,0.48057153040325545,0.44672291643066336,0.494485364515624,2.570333915770818,2.2878413433343114,2.9202166600645922,0.42142857142857143,0.5742857142857142,25.5,-1.3644572596855986
gap_14,4,0.9637556034191408,0.47413488824437067,1.036296777819534,1.0570502680703506,0.5243000979557275,0.5071566599301812,0.5682449762024807,0.4302503961055616,2.904613424974042,2.189184022746445,3.490991122425973,0.40147058823529413,0.6105882352941175,26.7,0.15034905732791248
gap_02,0,-0.2627941318044264,0.36666499268772756,1.0906551536447666,0.7942265370525412,0.5615975815550581,0.48568357996033185,0.5959773303881606,0.48578593703899275,2.6377486621241895,2.1640440097931193,3.0738062466778837,0.525,0.612,26.4,-0.8255037630938715
gap_02,1,-0.2627941318044264,0.4343029049835838,0.9741770863098983,0.7950653457775797,0.4656920769935757,0.5185598715871936,0.6363806680592989,0.45860417672288295,2.9469980543752223,1.9918896074826946,3.7175166725646083,0.475,0.6479999999999999,26.5,0.8708198978503804
gap_02,2,-0.2627941318044264,0.4076673105152928,1.020045778300439,0.9266383724765129,0.5392280397014736,0.5376630256228798,0.542197978771547,0.4986925522961246,2.324576907162666,2.0435373489822295,2.9751775224265478,0.4,0.612,25.5,-1.2944297703148304
gap_02,3,-0.2627941318044264,0.42142549434759413,0.9963530502367068,0.8375078208077935,0.44208568909119383,0.5095001013230177,0.5594888885441631,0.47498427735179355,2.521413036247782,1.9142172439574932,3.3035464217755943,0.41250000000000003,0.51,25.4,-0.28745004373795097
gap_02,4,-0.2627941318044264,0.4126723948786877,1.0114266099419278,1.0636623811029,0.6223291491756799,0.4586046512332281,0.630085042281932,0.4476926392881019,2.804918850909684,2.29825782607263,3.758055821463408,0.40166666666666667,0.5399999999999999,25.9,0.1360529967972654
random_09,0,0.8985873521394343,0.4828801310963071,0.8442505146198542,1.0452201472054072,0.48691412434013287,0.3907173467405798,0.6483315346926515,0.42884762966589385,2.9007599683873897,1.8548420171056574,3.388920147601803,0.4480769230769231,0.5153846153846154,26.3,0.5965026627332414
random_09,1,0.8985873521394343,0.4752670389395752,0.8566796579532857,0.7052467499915439,0.5111963908483693,0.4811497225076044,0.5325726594714296,0.47112891994657685,2.57045458828949,1.9636422998191623,3.1618568548134607,0.3983333333333333,0.5319999999999999,26.6,-0.47524034364675893
random_09,2,0.8985873521394343,0.4738747542643752,0.8589527035742689,0.866016269319867,0.4931772097924914,0.45061712943200277,0.582592055853087,0.4634533629935732,2.436675963178518,1.8121026067434998,2.8362949494223524,0.5194444444444444,0.5444444444444445,26.7,-0.8739582120716703
random_09,3,0.8985873521394343,0.4711546973572198,0.8633934717244651,1.042342078605981,0.46580593902818435,0.4960630773872351,0.5657879475356423,0.450268426010585,2.713483883719699,2.34766318675702,3.4087169182966868,0.5159090909090909,0.5072727272727273,26.3,-0.5728623435039564
random_09,4,0.8985873521394343,0.44423316994127016,0.9073455894867415,0.9242010963040235,0.6201548900611951,0.43960343146458813,0.6455980589335798,0.38057753746690914,2.6688444762502863,1.5186100030448086,3.1031564836741268,0.47500000000000003,0.49,26.8,0.4024940873411901
hub_04,0,-1.2259094423306578,0.5809424830048544,0.65919566715287,0.8023595539293954,0.686344381986494,0.4801504969682089,0.6889869574024674,0.4673313234383926,2.7510193977310844,1.7331728445779482,3.230183777448437,0.525,0.5479999999999999,26.2,0.337529087856698
hub_04,1,-1.2259094423306578,0.5430344283327662,0.718826682888412,0.933255811278745,0.5600748333273459,0.4077373963360712,0.6511893301229759,0.43677123298616505,2.570382912604034,1.8722844277339736,3.052133476866122,0.5194444444444444,0.5444444444444445,26.1,-0.4596743333850817
hub_04,2,-1.2259094423306578,0.46272381764325843,0.8451587600995164,0.9979930346864546,0.5855629093143353,0.3730880616328651,0.688586993440015,0.39673997126999383,2.76749895734371,1.8782360638029652,3.353602176611641,0.51,0.5,26.5,0.27448547687092206
hub_04,3,-1.2259094423306578,0.5960179902548188,0.6354812397621704,0.7655115166653248,0.6182415137908785,0.5182221729491326,0.6289086321474436,0.4339967847469762,2.9399124177248224,2.336624544097994,3.53783154573043,0.475,0.508,26.2,0.015078871464807742
hub_04,4,-1.2259094423306578,0.5688971510294105,0.6781434972850342,0.823145863029929,0.5536965182590373,0.5025554140606219,0.6839715952955978,0.40907782935091414,2.655184399835755,1.643512597899684,3.533303361814755,0.6749999999999999,0.6266666666666666,26.9,0.7269764854319558
gap_15,0,1.147836591731541,0.42655837410549213,0.9794684590225283,0.9037756930851849,0.5140876206137948,0.41966925135576316,0.6675462944854539,0.3743055383871246,2.6297833159615394,1.9962578646986604,2.759651509865667,0.4791666666666667,0.5066666666666667,26.5,-0.9594375965360393
gap_15,1,1.147836591731541,0.4797098625318338,0.8886829211179611,0.9560969043057205,0.4526554221563917,0.4597593212411134,0.6065643403421883,0.4301705963145502,2.707149932200223,1.9167994988317898,3.051219402308449,0.5194444444444444,0.5755555555555555,27.2,-0.2987164068280571
gap_15,2,1.147836591731541,0.36733868748014387,1.080618798627274,1.157919326034045,0.5955027002990835,0.3813163972834351,0.6420917718467286,0.37095120759187106,2.739755073880817,1.8131916807502904,3.4560066636081737,0.4375,0.5599999999999999,25.8,0.47529017595886414
gap_15,3,1.147836591731541,0.49641095482914965,0.8601565770268288,0.9899457966957679,0.5268780836005098,0.42199753046470406,0.6180390243269012,0.35624870361060745,2.6347341364528782,1.7859617482961547,3.230849142392756,0.5159090909090909,0.5072727272727273,26.7,0.0412008041079031
gap_15,4,1.147836591731541,0.38574003524614964,1.0491883287652501,0.8952240367169894,0.5629182407811434,0.39618543260377365,0.5936585159204606,0.4146834646370028,2.6171230692361074,2.0514301923257254,3.1743744430491434,0.525,0.5479999999999999,26.2,-0.5309912807020234
