id,constructor,generator,target,length,intensity,style,ema_error,passage_error,passage_v,passage_a,target_v,target_a
shuffled-valley-psg-calm-0379d965-f794b1cd,shuffled:valley,psg,calm,medium,plain,unfiltered,0.1965499307834153,0.034287833805118795,0.7212372610465234,0.1813355847950811,0.75,0.2
shuffled-harmonic-golden-psg-calm-97bb7c28-2122ae4a,shuffled:harmonic-golden,psg,calm,medium,plain,unfiltered,0.3296741387556566,0.19057578939973865,0.6333213872750683,0.35068255651507557,0.75,0.2
shuffled-harmonic-prime-psg-calm-fc74a346-3f4c0647,shuffled:harmonic-prime,psg,calm,medium,plain,unfiltered,0.3700074448162713,0.22938153764133062,0.6124172089502543,0.3835398197058698,0.75,0.2
shuffled-harmonic-organic-psg-calm-5750362e-a6876772,shuffled:harmonic-organic,psg,calm,medium,plain,unfiltered,0.3037062660126502,0.18591761429449857,0.6314753218205011,0.34323847237179045,0.75,0.2
shuffled-polygon-pca-psg-calm-57b971bb-d739a48a,shuffled:polygon-pca,psg,calm,medium,plain,unfiltered,0.278517220310642,0.14830140884647453,0.63590332113019,0.294737826324698,0.75,0.2
neutral-calm,neutral,none,calm,,,,0.322660313855187,0.23326771214720568,0.516890952482405,0.19139782028604096,0.75,0.2
via-negativa-psg-calm-8f7d4a91,via-negativa,psg,calm,medium,plain,via-negativa,0.4298934353240899,0.6902403898442776,0.28458183437202045,0.7097231865197686,0.75,0.2
via-negativa-psg-focused-25a90da2,via-negativa,psg,focused,medium,plain,via-negativa,0.291682288792443,0.3721762703215991,0.3610919728367548,0.3653783300052239,0.65,0.6
via-negativa-psg-excited-95a9c43a,via-negativa,psg,excited,medium,plain,via-negativa,0.605732878155724,0.7940868760078342,0.3450518775231785,0.19915733659916196,0.8,0.85
valley-gregory-calm-0379d965,valley,gregory,calm,medium,plain,gregory,0.2205761909807482,0.026300102784322234,0.7608671946216838,0.17605006289109804,0.75,0.2
valley-gregory-excited-deb0fe71,valley,gregory,excited,medium,plain,gregory,0.3802627703574341,0.27195554803924954,0.8305579635367846,0.5797667100932731,0.8,0.85
harmonic-golden-gregory-calm-97bb7c28,harmonic-golden,gregory,calm,medium,plain,gregory,0.2594545054882546,0.09631812370385213,0.6954978389891422,0.2794147051809493,0.75,0.2
harmonic-golden-gregory-excited-eb4786e9,harmonic-golden,gregory,excited,medium,plain,gregory,0.463738885386423,0.3718746649185702,0.7661888110350459,0.47966559718401125,0.8,0.85
