id,constructor,generator,target,length,intensity,style,ema_error,passage_error,ema_v,ema_a,passage_v,passage_a,target_v,target_a,n_lines
valley-psg-excited-deb0fe71,valley,psg,excited,medium,plain,unfiltered,0.4222497378568996,0.36918171260931965,0.49770308700932075,0.5551925755403604,0.6992479227257703,0.4948322145097082,0.8,0.85,24
valley-word-template-calm-01f005c2,valley,word-template,calm,medium,plain,unfiltered,0.39595843081088267,0.16680866747554643,0.40155828664771376,0.38807299467584316,0.6155214357617442,0.10130528228225821,0.75,0.2,12
valley-word-template-focused-353cd512,valley,word-template,focused,medium,plain,unfiltered,0.3432602917892767,0.39762908625939786,0.36045513449977307,0.41563243565715013,0.6089641048111323,0.20449406383022273,0.65,0.6,12
valley-word-template-excited-ab748a95,valley,word-template,excited,medium,plain,unfiltered,0.5707727069995349,0.5896646108039116,0.3778128647894783,0.4658912837251548,0.6242791638018075,0.2871265320159986,0.8,0.85,12
harmonic-golden-psg-calm-97bb7c28,harmonic-golden,psg,calm,medium,plain,unfiltered,0.339528695186654,0.21123896626207342,0.47320668533418453,0.3966346760148441,0.549637856876344,0.2669097337490218,0.75,0.2,24
harmonic-golden-psg-focused-1dcf0776,harmonic-golden,psg,focused,medium,plain,unfiltered,0.21813638300669191,0.19010214264073266,0.464937746992088,0.4845208066235404,0.614360575400728,0.41326849207798305,0.65,0.6,24
harmonic-golden-psg-excited-eb4786e9,harmonic-golden,psg,excited,medium,plain,unfiltered,0.46483359106284106,0.3765596816536552,0.5082364686347756,0.488137720747699,0.5839955112434461,0.5415534816469443,0.8,0.85,24
harmonic-golden-psg-rescue-d99e4151,harmonic-golden,psg,rescue,medium,plain,unfiltered,0.3526522683649026,0.20151933793940371,0.46233119664916644,0.4039859847185849,0.6313932129479719,0.36291861044316104,0.75,0.2,24
harmonic-golden-word-template-calm-d3844f2a,harmonic-golden,word-template,calm,medium,plain,unfiltered,0.4488797871280252,0.3163153168364998,0.35419636413522354,0.4117369715669057,0.5632457284728176,0.4553002579938507,0.75,0.2,12
harmonic-golden-word-template-focused-4f249b05,harmonic-golden,word-template,focused,medium,plain,unfiltered,0.3658475145312182,0.2039540288424158,0.3252699947033638,0.43149235166106986,0.6406043061552715,0.39626250512429206,0.65,0.6,12
harmonic-golden-word-template-excited-bf7bdefa,harmonic-golden,word-template,excited,medium,plain,unfiltered,0.6072208312028224,0.43146484216738784,0.33933561543896734,0.45439228692598577,0.5737009210940051,0.48264371937745887,0.8,0.85,12
harmonic-golden-word-template-rescue-750e4735,harmonic-golden,word-template,rescue,medium,plain,unfiltered,0.43878029978407135,0.3154171532995752,0.3649430328271318,0.4103789046226646,0.4905808639309834,0.379414861248484,0.75,0.2,12
harmonic-prime-psg-calm-fc74a346,harmonic-prime,psg,calm,medium,plain,unfiltered,0.3631710704077455,0.23097241358277348,0.4444078613252154,0.3962311676601831,0.5353703971217143,0.28533691700876673,0.75,0.2,24
harmonic-prime-psg-focused-5ad8080b,harmonic-prime,psg,focused,medium,plain,unfiltered,0.25993811300466224,0.2025638721370245,0.42020760829014864,0.47849576425206075,0.6150721498662173,0.4004701336135945,0.65,0.6,24
harmonic-prime-psg-excited-8781a422,harmonic-prime,psg,excited,medium,plain,unfiltered,0.5198483742239838,0.3997040414130104,0.45626700642797946,0.4600128703234729,0.620222350282551,0.4930079589347071,0.8,0.85,24
harmonic-prime-psg-rescue-1ba0ffa1,harmonic-prime,psg,rescue,medium,plain,unfiltered,0.3540435490349052,0.227546139879017,0.4552544360294401,0.39614251740229073,0.6141963416686251,0.3825776880061098,0.75,0.2,24
harmonic-prime-word-template-calm-844f06c9,harmonic-prime,word-template,calm,medium,plain,unfiltered,0.44537496931613235,0.398715874404525,0.3546972035382557,0.40516959424551824,0.5133355355692012,0.520880475843963,0.75,0.2,12
harmonic-prime-word-template-focused-3071ad96,harmonic-prime,word-template,focused,medium,plain,unfiltered,0.3682513737285509,0.1552459410992706,0.32881933934229,0.4198554539475541,0.6396101355916917,0.44510212091388995,0.65,0.6,12
harmonic-prime-word-template-excited-55391b5f,harmonic-prime,word-template,excited,medium,plain,unfiltered,0.5896764140982284,0.41508436366504153,0.3719907739006565,0.4443814899223824,0.5570089387741912,0.5134730722162524,0.8,0.85,12
harmonic-prime-word-template-rescue-72f8f4ad,harmonic-prime,word-template,rescue,medium,plain,unfiltered,0.44868652682486815,0.3189592031246043,0.3459918375797185,0.39518453845515167,0.4900289819152885,0.38479730250704736,0.75,0.2,12
harmonic-organic-psg-calm-5750362e,harmonic-organic,psg,calm,medium,plain,unfiltered,0.34530836196463005,0.1760230716977333,0.46608807596835977,0.39654995353687605,0.5805447930718177,0.24763459472728072,0.75,0.2,24
harmonic-organic-psg-focused-42779d0f,harmonic-organic,psg,focused,medium,plain,unfiltered,0.24897738858079524,0.14928196988914372,0.426123701221219,0.4910544040833853,0.6077252847344204,0.45682893105380057,0.65,0.6,24
harmonic-organic-psg-excited-83a703da,harmonic-organic,psg,excited,medium,plain,unfiltered,0.5019326810771446,0.3749849564966524,0.4758067257446868,0.46680926777789905,0.6299458916830283,0.5157915054291469,0.8,0.85,24
