id,arm,closing,transfer_closing,drift_closing,residual_grain,d_before,local_spacing,n_within_grain,circumradius,probe_v,probe_a,deep_v,deep_a,panas_pa,panas_na,panas_inspired,basq_v,basq_a,score,map_novelty_grain,affect_novelty
gap_10,gap,0.4031514172683436,0.12527100903830446,0.008034273632717063,0.9972199944154505,7.030923596139671,1.1130756756777207,1.0,2.205330813012194,0.6230647346869836,0.4174616137674142,0.6940818097294557,0.4069911003954707,3.2110841464905358,2.1999672535528,3.3137374556650596,0.4791666666666667,0.6233333333333333,0.5824782739887054,1.4255485534667969,0.06113867028548642
gap_11,gap,0.477239676652254,0.08004953651891578,0.13626141250905263,1.0354444584462628,8.335079723807459,1.1667439968253923,2.0,2.1968706467187475,0.6273826056313795,0.5287308356189511,0.6492684712962034,0.45099129857992587,2.621406879626479,2.2527570019816823,2.8962176130230475,0.475,0.508,-1.0455119271449895,1.5984935760498047,0.12394144560312095
gap_12,gap,0.46048351337202253,0.08663034868641617,0.12375131392295602,0.9433032155422905,7.3575320451087824,1.086635571590961,2.0,2.1918654929366497,0.6009668556378706,0.45588031768969484,0.6335772471878243,0.40114302539978625,2.5039514975835644,1.6157406266075771,3.080127249691034,0.51,0.528,0.053707695365107166,1.5047510862350464,0.105056982226003
gap_13,gap,0.47460748943465936,0.1544173584850923,0.06690125463895043,1.0123097585464829,8.108025644993491,1.0967125123936783,3.0,2.1886096958953276,0.6201911525065346,0.4327978363973311,0.6083823005817415,0.3764147413535558,2.615583790781853,1.9407283507257727,3.209870839972611,0.428125,0.6124999999999999,-0.10750869976645311,1.3748948574066162,0.1068952227538579
gap_14,gap,0.4428603055757301,0.14055444564427833,0.1865752087760064,1.0979280654478563,8.292688515092864,1.059689405731973,6.0,2.175250101640218,0.6463806267918581,0.5254958806728592,0.626506500432478,0.47594540490090975,2.8752315269812647,2.1201016016031375,3.8759469582744037,0.525,0.5479999999999999,0.9637556034191407,1.5646544694900513,0.15768119259156224
gap_15,gap,0.3944224852694488,0.10723426666997482,0.06707774194095799,1.0343582168718883,7.187647918873901,0.9514353104269624,10.0,2.1709156490600647,0.5103181646501256,0.36247081805089115,0.5901972341271927,0.366901570634167,2.9246003554464175,1.827765800394862,3.615721929662432,0.48653846153846153,0.5153846153846154,1.147836591731541,1.5044445991516113,0.11831951226000538
hub_00,hub,0.45749453069868296,0.015309773492115042,0.24768269695968925,0.911712619654889,7.071953773498535,0.7807991385397567,10.0,,0.5398722690943709,0.4618675097481722,0.5964450902320317,0.47830361405912153,2.498800697774723,1.7358225710300623,3.19645182362259,0.5125,0.575,0.015864189871175202,1.7357234954833984,0.18158167464091837
hub_01,hub,0.5766618968519084,0.06345509476009437,0.22949373229808245,0.6886393570640188,6.845261573791504,0.792771185501034,10.0,,0.6510004703922968,0.4237166310188715,0.6281045604627131,0.36765403152629134,2.8996266797514956,2.0839117297638685,3.3898864375852438,0.51,0.5,0.37449773299723,1.4913250207901,0.08565187985481322
hub_02,hub,0.23107935613721753,0.08194596311228952,-0.013503677753022006,1.3789665298604858,7.5467119216918945,0.9461253070886958,10.0,,0.6314591212799413,0.4224610169595236,0.6281612247725785,0.38146361525699163,2.44891018444128,1.6464052045949722,3.3444265066758265,0.4791666666666667,0.5433333333333333,0.28889551045249895,1.489074468612671,0.09426443434057225
hub_03,hub,0.5814806757817268,0.05646363224286388,0.25308619541345706,0.8220903974616248,8.265890121459961,0.9266799021486138,10.0,,0.3087217713618966,0.545902715089278,0.4676207142432496,0.5173125289158689,2.616677908368925,2.2988715261314945,3.573083686032876,0.46388888888888885,0.5666666666666667,-0.1707864631014615,1.617342233657837,0.30453200589085194
