condition,gen,n_hops,drift,ttr,n_tokens
semantic,26,4,0.20054444670677185,0.9052631578947369,95
semantic,27,4,0.14748790860176086,0.9080459770114943,87
semantic,28,3,0.17540641129016876,0.9157894736842105,95
semantic,29,6,0.2101166695356369,0.8717948717948718,78
semantic,30,2,0.24635639786720276,0.9032258064516129,31
semantic,31,11,0.32200494408607483,0.898876404494382,89
semantic,32,4,0.18083567917346954,0.7678571428571429,56
semantic,33,3,0.1697293370962143,0.9361702127659575,47
semantic,34,1,0.14321184158325195,1.0,21
semantic,35,5,0.2468673437833786,0.8241758241758241,91
semantic,36,2,0.22047650814056396,0.9393939393939394,33
semantic,37,7,0.19179455935955048,0.8536585365853658,82
semantic,38,2,0.3197035491466522,1.0,32
semantic,39,4,0.1921623945236206,0.8636363636363636,88
semantic,40,5,0.17773325741291046,0.8315789473684211,95
semantic,41,7,0.19731052219867706,0.9104477611940298,67
semantic,42,0,,1.0,3
semantic,43,3,0.17234528064727783,0.9272727272727272,55
semantic,44,0,,1.0,18
semantic,45,4,0.18133293092250824,0.8762886597938144,97
semantic,46,7,0.22490772604942322,0.9397590361445783,83
semantic,47,5,0.13955332338809967,0.9195402298850575,87
semantic,48,3,0.17137062549591064,0.8717948717948718,39
semantic,49,9,0.3236704170703888,0.8426966292134831,89
semantic,50,5,0.13821227848529816,0.96,100
semantic,51,6,0.2155350297689438,0.8494623655913979,93
semantic,52,6,0.26333534717559814,0.8688524590163934,61
semantic,53,3,0.16925553977489471,0.9010989010989011,91
semantic,54,3,0.2621048092842102,0.8787878787878788,33
semantic,55,5,0.1409534364938736,0.8586956521739131,92
semantic,56,7,0.24903734028339386,0.925531914893617,94
semantic,57,4,0.18174418807029724,0.851063829787234,94
semantic,58,9,0.22646008431911469,0.898876404494382,89
semantic,59,7,0.19265702366828918,0.8636363636363636,88
semantic,60,3,0.1409011036157608,0.9054054054054054,74
semantic,61,5,0.16140307486057281,0.9027777777777778,72
semantic,62,10,0.2444562017917633,0.8735632183908046,87
semantic,63,0,,0.9333333333333333,15
semantic,64,6,0.2720637619495392,0.9021739130434783,92
semantic,65,6,0.23611341416835785,0.898876404494382,89
semantic,66,3,0.15187232196331024,0.851063829787234,94
semantic,67,3,0.20091615617275238,0.9487179487179487,39
semantic,68,3,0.1779462695121765,0.9230769230769231,91
semantic,69,7,0.21931181848049164,0.9347826086956522,92
semantic,70,4,0.18017582595348358,0.9072164948453608,97
semantic,71,4,0.1727036088705063,0.8829787234042553,94
semantic,72,1,0.13897013664245605,0.9642857142857143,56
semantic,73,3,0.20245949923992157,0.9411764705882353,34
semantic,74,5,0.25292983651161194,0.8314606741573034,89
semantic,75,6,0.18608246743679047,0.9052631578947369,95
semantic,76,2,0.25885269045829773,0.9487179487179487,39
semantic,77,4,0.19029632210731506,0.8913043478260869,92
semantic,78,4,0.17772626876831055,0.8833333333333333,60
semantic,79,4,0.14642348885536194,0.8020833333333334,96
semantic,80,4,0.17210063338279724,0.8958333333333334,48
semantic,81,3,0.12039977312088013,0.9222222222222223,90
semantic,82,2,0.11918109655380249,0.8390804597701149,87
semantic,83,3,0.23740653693675995,0.8775510204081632,49
semantic,84,6,0.23830075562000275,0.9021739130434783,92
semantic,85,7,0.22425749897956848,0.8444444444444444,90
semantic,86,5,0.14088360965251923,0.8936170212765957,94
semantic,87,4,0.16771933436393738,0.8809523809523809,84
semantic,88,4,0.15725967288017273,0.9333333333333333,90
semantic,89,5,0.168777197599411,0.7840909090909091,88
semantic,90,2,0.10366940498352051,0.8947368421052632,76
semantic,91,8,0.24448078870773315,0.875,88
semantic,92,4,0.11256735026836395,0.9368421052631579,95
semantic,93,4,0.1806483417749405,0.8539325842696629,89
semantic,94,3,0.2334899753332138,0.9787234042553191,47
semantic,95,5,0.2277979850769043,0.896551724137931,87
semantic,96,3,0.16013504564762115,0.875,64
semantic,97,3,0.25444647669792175,0.9285714285714286,28
semantic,98,4,0.17576198279857635,0.9021739130434783,92
semantic,99,5,0.11947218328714371,0.9479166666666666,96
random_screened,0,6,0.14174595475196838,0.8351648351648352,91
random_screened,1,5,0.25683483481407166,0.9333333333333333,75
random_screened,2,4,0.2028268277645111,0.8787878787878788,99
random_screened,3,2,0.11709326505661011,0.9444444444444444,36
random_screened,4,7,0.23338913917541504,0.9,70
random_screened,5,4,0.11378394067287445,0.90625,96
random_screened,6,11,0.3656946122646332,0.9310344827586207,87
random_screened,7,9,0.21311695873737335,0.9456521739130435,92
random_screened,8,4,0.4469309449195862,0.9294117647058824,85
random_screened,9,4,0.3529515564441681,0.9210526315789473,38
random_screened,10,4,0.14835099875926971,0.9142857142857143,70
random_screened,11,2,0.3254931569099426,1.0,26
random_screened,12,3,0.2863906919956207,0.8923076923076924,65
random_screened,13,4,0.4035387933254242,0.9607843137254902,51
random_screened,14,0,,1.0,11
random_screened,15,4,0.38322949409484863,1.0,44
random_screened,16,2,0.10715094208717346,0.9818181818181818,55
random_screened,17,3,0.1696479469537735,0.9574468085106383,47
random_screened,18,6,0.1902962327003479,0.927710843373494,83
random_screened,19,5,0.21138441562652588,0.9545454545454546,66
random_screened,20,0,,1.0,2
random_screened,21,0,,0.8888888888888888,18
random_screened,22,2,0.13347959518432617,0.97,100
random_screened,23,4,0.16690893471240997,0.9101123595505618,89
random_screened,24,6,0.3194531202316284,0.8588235294117647,85
random_screened,25,2,0.16809886693954468,0.9210526315789473,38
random_screened,26,5,0.5061321258544922,0.9666666666666667,30
random_screened,27,1,0.195778489112854,1.0,20
random_screened,28,7,0.18733875453472137,0.8837209302325582,86
random_screened,29,4,0.15482361614704132,0.9080459770114943,87
random_screened,30,0,,1.0,10
random_screened,31,2,0.2047170102596283,1.0,26
random_screened,32,6,0.3781992495059967,0.8846153846153846,52
random_screened,33,2,0.1382330358028412,0.9642857142857143,28
random_screened,34,2,0.24832424521446228,0.9285714285714286,14
random_screened,35,0,,0.9814814814814815,54
random_screened,36,8,0.2739655673503876,0.8709677419354839,93
random_screened,37,7,0.17364321649074554,0.9318181818181818,88
random_screened,38,7,0.2775481343269348,0.9285714285714286,56
random_screened,39,3,0.18521834909915924,0.8854166666666666,96
random_screened,40,0,,1.0,41
random_screened,41,4,0.12738656997680664,0.8813559322033898,59
random_screened,42,2,0.159587562084198,0.8409090909090909,44
random_screened,43,1,0.10865706205368042,0.96,25
random_screened,44,3,0.19242584705352783,0.9076923076923077,65
random_screened,45,5,0.21359772980213165,0.9090909090909091,66
random_screened,46,1,0.11374020576477051,0.9423076923076923,52
random_screened,47,6,0.15020088851451874,0.8888888888888888,90
random_screened,48,6,0.2546606957912445,0.9545454545454546,88
random_screened,49,3,0.19539515674114227,0.9052631578947369,95
random_screened,50,3,0.31389519572257996,0.9743589743589743,39
random_screened,51,2,0.24422290921211243,0.9666666666666667,30
random_screened,52,0,,1.0,1
random_screened,53,3,0.17446927726268768,0.8202247191011236,89
random_screened,54,2,0.10961917042732239,0.9397590361445783,83
random_screened,55,4,0.1884472519159317,0.9436619718309859,71
random_screened,56,4,0.2223629206418991,0.9375,48
random_screened,57,1,0.11547178030014038,0.9714285714285714,35
random_screened,58,1,0.25690269470214844,1.0,17
random_screened,59,3,0.15537981688976288,0.9130434782608695,46
random_screened,60,3,0.16813594102859497,0.9347826086956522,46
random_screened,61,7,0.28325048089027405,0.8764044943820225,89
random_screened,62,4,0.4064760208129883,1.0,29
random_screened,63,2,0.12408047914505005,0.8539325842696629,89
random_screened,64,4,0.21667742729187012,0.9565217391304348,92
random_screened,65,3,0.11930674314498901,0.9464285714285714,56
random_screened,66,4,0.16823026537895203,0.8351648351648352,91
random_screened,67,6,0.3354720175266266,0.8888888888888888,54
random_screened,68,5,0.1269615739583969,0.8974358974358975,78
random_screened,69,6,0.19090290367603302,0.9333333333333333,90
random_screened,70,3,0.13326676189899445,0.975,80
random_screened,71,5,0.2877025604248047,0.8688524590163934,61
random_screened,72,1,0.12273824214935303,0.96,25
random_screened,73,10,0.20234429836273193,0.9010989010989011,91
random_screened,74,4,0.14589881896972656,0.8571428571428571,98
random_screened,75,1,0.23541021347045898,0.84,50
random_screened,76,13,0.29392164945602417,0.9111111111111111,90
random_screened,77,9,0.2770303189754486,0.9318181818181818,88
random_screened,78,3,0.19087658822536469,0.8548387096774194,62
random_screened,79,4,0.18183772265911102,0.9052631578947369,95
random_screened,80,4,0.15435263514518738,0.9387755102040817,98
random_screened,81,2,0.2019881010055542,0.9393939393939394,33
random_screened,82,0,,1.0,13
random_screened,83,6,0.18189026415348053,0.8777777777777778,90
random_screened,84,3,0.16210609674453735,0.8870967741935484,62
random_screened,85,2,0.10885584354400635,0.8529411764705882,34
random_screened,86,0,,1.0,8
random_screened,87,3,0.1227249726653099,0.8369565217391305,92
random_screened,88,4,0.18482834100723267,0.9120879120879121,91
random_screened,89,1,0.10242873430252075,0.9619047619047619,105
random_screened,90,0,,1.0,10
random_screened,91,5,0.18236297369003296,0.9325842696629213,89
random_screened,92,1,0.09986978769302368,1.0,32
random_screened,93,3,0.3064348101615906,1.0,30
random_screened,94,4,0.13463838398456573,0.9021739130434783,92
random_screened,95,1,0.204748272895813,0.9615384615384616,26
random_screened,96,5,0.14269950985908508,0.9113924050632911,79
random_screened,97,3,0.18640996515750885,0.8412698412698413,63
random_screened,98,0,,1.0,3
random_screened,99,5,0.2450850009918213,0.9175257731958762,97
flow,0,6,0.2364080399274826,0.9565217391304348,92
flow,1,5,0.16854603588581085,0.8478260869565217,92
flow,2,6,0.22370600700378418,0.9195402298850575,87
flow,3,0,,1.0,8
flow,4,0,,1.0,4
flow,5,4,0.15276432037353516,0.9468085106382979,94
flow,6,6,0.24403537809848785,0.8536585365853658,82
flow,7,3,0.10015638917684555,0.9325842696629213,89
flow,8,4,0.21210023760795593,0.8947368421052632,57
flow,9,4,0.36403539776802063,0.8936170212765957,47
flow,10,0,,1.0,5
flow,11,6,0.21147818863391876,0.9066666666666666,75
flow,12,3,0.18003076314926147,0.8837209302325582,86
flow,13,6,0.19587302207946777,0.8260869565217391,92
flow,14,5,0.15456996858119965,0.925531914893617,94
flow,15,4,0.1737082600593567,0.8191489361702128,94
flow,16,7,0.2467779964208603,0.9791666666666666,96
flow,17,3,0.25870299339294434,0.9555555555555556,45
flow,18,9,0.2603584825992584,0.9175257731958762,97
flow,19,4,0.17032572627067566,0.8387096774193549,93
flow,20,8,0.29484373331069946,0.9295774647887324,71
flow,21,2,0.08789873123168945,0.864406779661017,59
flow,22,0,,1.0,24
flow,23,0,,1.0,10
flow,24,5,0.2081323117017746,0.96,75
flow,25,6,0.16748730838298798,0.9113924050632911,79
flow,26,3,0.11191689968109131,0.8817204301075269,93
flow,27,6,0.276221364736557,0.9080459770114943,87
flow,28,5,0.14895839989185333,0.8404255319148937,94
flow,29,9,0.17733478546142578,0.8488372093023255,86
flow,30,0,,1.0,5
flow,31,2,0.344209223985672,1.0,20
flow,32,9,0.3013080358505249,0.8023255813953488,86
flow,33,6,0.24873459339141846,0.9175257731958762,97
flow,34,7,0.16680052876472473,0.8539325842696629,89
flow,35,1,0.35666608810424805,0.9393939393939394,33
flow,36,6,0.17752580344676971,0.8191489361702128,94
flow,37,5,0.278239905834198,0.9090909090909091,44
flow,38,2,0.27542489767074585,0.9583333333333334,24
flow,39,2,0.18541944026947021,0.9259259259259259,27
flow,40,1,0.26599597930908203,0.9523809523809523,21
flow,41,5,0.17527875304222107,0.9239130434782609,92
flow,42,0,,1.0,3
flow,43,10,0.28797847032546997,0.8275862068965517,87
flow,44,1,0.19348478317260742,0.9411764705882353,34
flow,45,3,0.12610238790512085,0.8658536585365854,82
flow,46,1,0.09016579389572144,0.9411764705882353,34
flow,47,2,0.2072959840297699,0.9239130434782609,92
flow,48,6,0.22541660070419312,0.9078947368421053,76
flow,49,8,0.3412386178970337,0.8939393939393939,66
flow,50,0,,1.0,11
flow,51,6,0.14335574209690094,0.8979591836734694,98
flow,52,0,,1.0,30
flow,53,4,0.15838377177715302,0.9565217391304348,46
flow,54,7,0.2043832242488861,0.9183673469387755,98
flow,55,6,0.3154773414134979,0.9090909090909091,55
flow,56,3,0.16315197944641113,0.9583333333333334,48
flow,57,4,0.19434499740600586,0.8387096774193549,93
flow,58,6,0.1868463009595871,0.8539325842696629,89
flow,59,2,0.1889653503894806,0.8947368421052632,38
flow,60,2,0.3268512487411499,0.9444444444444444,36
flow,61,4,0.15249885618686676,0.9193548387096774,62
flow,62,4,0.306720495223999,0.9,30
flow,63,1,0.3568723201751709,0.96,25
flow,64,4,0.13851319253444672,0.8555555555555555,90
flow,65,6,0.20383383333683014,0.8924731182795699,93
flow,66,3,0.1765211820602417,0.7666666666666667,90
flow,67,6,0.2362227439880371,0.8586956521739131,92
flow,68,1,0.22050142288208008,0.875,8
flow,69,4,0.2200130820274353,0.8043478260869565,92
flow,70,4,0.18142350018024445,0.8703703703703703,54
flow,71,4,0.1082438975572586,0.9183673469387755,98
flow,72,6,0.3274964988231659,0.8170731707317073,82
flow,73,4,0.15877777338027954,0.7916666666666666,96
flow,74,3,0.12456715106964111,0.8378378378378378,74
flow,75,3,0.13636644184589386,0.9,100
flow,76,9,0.27126726508140564,0.8409090909090909,88
flow,77,1,0.1502213478088379,0.9615384615384616,26
flow,78,5,0.19014659523963928,0.8977272727272727,88
