condition,gen,n_hops,drift,ttr,n_tokens,build
polygon_S1,27,8,0.4487867057323456,0.9824561403508772,57,polygon_S1
polygon_S1,28,3,0.2059379816055297,0.9456521739130436,92,polygon_S1
polygon_S1,29,2,0.159867376089096,0.9428571428571428,70,polygon_S1
polygon_S1,30,4,0.2219923436641693,0.8666666666666667,45,polygon_S1
polygon_S1,31,9,0.2250839918851852,0.8888888888888888,90,polygon_S1
polygon_S1,32,3,0.1249133571982383,0.9032258064516128,93,polygon_S1
polygon_S1,33,3,0.2538561522960663,0.9696969696969696,33,polygon_S1
polygon_S1,34,1,0.4006756544113159,0.967741935483871,31,polygon_S1
polygon_S1,35,7,0.2356868088245391,0.84375,64,polygon_S1
polygon_S1,36,4,0.251322865486145,0.9375,64,polygon_S1
polygon_S1,37,1,0.1535857915878296,0.9333333333333332,30,polygon_S1
polygon_S1,38,3,0.21373051404953,0.8571428571428571,49,polygon_S1
polygon_S1,39,4,0.1944656819105148,0.7956989247311828,93,polygon_S1
polygon_S1,40,5,0.1843698322772979,0.8829787234042553,94,polygon_S1
polygon_S1,41,3,0.1956868171691894,0.9523809523809524,63,polygon_S1
polygon_S1,42,5,0.2212823331356048,0.9540229885057472,87,polygon_S1
polygon_S1,43,7,0.2430259883403778,0.9069767441860463,86,polygon_S1
polygon_S1,44,6,0.182949498295784,0.9052631578947368,95,polygon_S1
polygon_S1,45,4,0.1688302010297775,0.8695652173913043,92,polygon_S1
polygon_S1,46,2,0.1091335117816925,0.9036144578313252,83,polygon_S1
polygon_S1,47,4,0.1602064818143844,0.7912087912087912,91,polygon_S1
polygon_S1,48,5,0.3276765048503876,0.9791666666666666,48,polygon_S1
polygon_S1,49,1,0.1980230212211609,1.0,24,polygon_S1
polygon_S1,50,0,,0.9473684210526316,19,polygon_S1
polygon_S1,51,6,0.1728712767362594,0.9111111111111112,90,polygon_S1
polygon_S1,52,0,,1.0,1,polygon_S1
polygon_S1,53,2,0.0752215683460235,0.865979381443299,97,polygon_S1
polygon_S1,54,6,0.1902853101491928,0.8947368421052632,95,polygon_S1
polygon_S1,55,2,0.351781815290451,1.0,25,polygon_S1
polygon_S1,56,0,,0.9545454545454546,22,polygon_S1
polygon_S1,57,5,0.2488942146301269,0.8617021276595744,94,polygon_S1
polygon_S1,58,6,0.3137402832508087,0.8604651162790697,86,polygon_S1
polygon_S1,59,0,,1.0,3,polygon_S1
polygon_S1,60,3,0.1666073650121688,0.9010989010989012,91,polygon_S1
polygon_S1,61,3,0.2624162435531616,0.9302325581395348,43,polygon_S1
polygon_S1,62,3,0.1260052323341369,0.8902439024390244,82,polygon_S1
polygon_S1,63,5,0.322221428155899,0.8947368421052632,57,polygon_S1
polygon_S1,64,3,0.2673670947551727,0.8734177215189873,79,polygon_S1
polygon_S1,65,4,0.1829765737056732,0.8631578947368421,95,polygon_S1
polygon_S1,66,4,0.2143506705760955,0.8222222222222222,90,polygon_S1
polygon_S1,67,7,0.1615430414676666,0.8764044943820225,89,polygon_S1
polygon_S1,68,6,0.4240768849849701,0.8809523809523809,42,polygon_S1
polygon_S1,69,10,0.2413258999586105,0.8936170212765957,94,polygon_S1
polygon_S1,70,6,0.1886670142412185,0.95,100,polygon_S1
polygon_S1,71,10,0.3902257978916168,0.927536231884058,69,polygon_S1
polygon_S1,72,7,0.1603234857320785,0.9148936170212766,94,polygon_S1
polygon_S1,73,3,0.2162389010190963,0.967741935483871,62,polygon_S1
polygon_S1,74,5,0.3163460791110992,0.8955223880597015,67,polygon_S1
polygon_S1,75,6,0.2740471959114074,0.9615384615384616,52,polygon_S1
polygon_S1,76,7,0.2744500041007995,0.8153846153846154,65,polygon_S1
polygon_S1,77,1,0.3706098198890686,1.0,14,polygon_S1
polygon_S1,78,5,0.3081907331943512,0.9107142857142856,56,polygon_S1
polygon_S1,79,14,0.3472939133644104,0.8705882352941177,85,polygon_S1
polygon_S1,80,7,0.2028040736913681,0.8387096774193549,93,polygon_S1
polygon_S1,81,1,0.1759282350540161,0.9565217391304348,69,polygon_S1
polygon_S1,82,2,0.5396496653556824,0.9545454545454546,22,polygon_S1
polygon_S1,83,5,0.2172009050846099,0.8571428571428571,91,polygon_S1
polygon_S1,84,7,0.2726673483848572,0.8571428571428571,84,polygon_S1
polygon_S1,85,6,0.341411679983139,0.9245283018867924,53,polygon_S1
polygon_S1,86,3,0.1987932920455932,0.8985507246376812,69,polygon_S1
polygon_S1,87,8,0.2783779203891754,0.8873239436619719,71,polygon_S1
polygon_S1,88,3,0.250910609960556,0.967741935483871,31,polygon_S1
polygon_S1,89,2,0.3179002702236175,0.8941176470588236,85,polygon_S1
polygon_S1,90,3,0.1366931647062301,0.9382716049382716,81,polygon_S1
polygon_S1,91,4,0.2380399107933044,0.9325842696629212,89,polygon_S1
polygon_S1,92,1,0.0848473310470581,0.96875,32,polygon_S1
polygon_S1,93,4,0.4040375351905823,0.9117647058823528,34,polygon_S1
polygon_S1,94,4,0.1733245849609375,0.9186046511627908,86,polygon_S1
polygon_S1,95,3,0.201493039727211,0.972972972972973,37,polygon_S1
polygon_S1,96,6,0.1835784167051315,0.875,88,polygon_S1
polygon_S1,97,6,0.222478985786438,0.8295454545454546,88,polygon_S1
polygon_S1,98,1,0.3231450915336609,1.0,25,polygon_S1
polygon_S1,99,3,0.1402773112058639,0.9466666666666668,75,polygon_S1
walk_w000_S1,0,6,0.20966124534606934,0.9285714285714286,84,walk_w000_S1
walk_w000_S1,1,5,0.17725907266139984,0.8,90,walk_w000_S1
walk_w000_S1,2,6,0.21920578181743622,0.9583333333333334,96,walk_w000_S1
walk_w000_S1,3,0,,1.0,8,walk_w000_S1
walk_w000_S1,4,0,,1.0,4,walk_w000_S1
walk_w000_S1,5,3,0.12897922098636627,0.8804347826086957,92,walk_w000_S1
walk_w000_S1,6,1,0.3383808732032776,0.8666666666666667,15,walk_w000_S1
walk_w000_S1,7,4,0.204689621925354,0.8974358974358975,78,walk_w000_S1
walk_w000_S1,8,4,0.15044088661670685,0.9333333333333333,45,walk_w000_S1
walk_w000_S1,9,5,0.17985297739505768,0.9318181818181818,88,walk_w000_S1
walk_w000_S1,10,4,0.21524624526500702,0.8947368421052632,76,walk_w000_S1
walk_w000_S1,11,3,0.22932057082653046,0.9,50,walk_w000_S1
walk_w000_S1,12,5,0.25221022963523865,0.8705882352941177,85,walk_w000_S1
walk_w000_S1,13,1,0.25970137119293213,0.96,25,walk_w000_S1
walk_w000_S1,14,2,0.21889707446098328,0.9487179487179487,39,walk_w000_S1
walk_w000_S1,15,5,0.2473158836364746,0.8260869565217391,92,walk_w000_S1
walk_w000_S1,16,2,0.14051952958106995,0.9661016949152542,59,walk_w000_S1
walk_w000_S1,17,1,0.11245745420455933,1.0,33,walk_w000_S1
walk_w000_S1,18,7,0.22018036246299744,0.8723404255319149,94,walk_w000_S1
walk_w000_S1,19,2,0.35866227746009827,0.9130434782608695,23,walk_w000_S1
walk_w000_S1,20,0,,1.0,6,walk_w000_S1
walk_w000_S1,21,0,,1.0,8,walk_w000_S1
walk_w000_S1,22,5,0.2781527042388916,0.9230769230769231,91,walk_w000_S1
walk_w000_S1,23,3,0.3322027027606964,0.9696969696969697,33,walk_w000_S1
walk_w000_S1,24,5,0.16164156794548035,0.8539325842696629,89,walk_w000_S1
walk_w000_S1,25,1,0.22606122493743896,1.0,13,walk_w000_S1
walk_w000_S1,26,3,0.14440463483333588,0.972972972972973,37,walk_w000_S1
walk_w000_S1,27,6,0.3005279302597046,0.9508196721311475,61,walk_w000_S1
walk_w000_S1,28,2,0.07763338088989258,0.8736842105263158,95,walk_w000_S1
walk_w000_S1,29,3,0.17073197662830353,0.9016393442622951,61,walk_w000_S1
walk_w000_S1,30,3,0.18537360429763794,0.9682539682539683,63,walk_w000_S1
walk_w000_S1,31,5,0.17819443345069885,0.9130434782608695,92,walk_w000_S1
walk_w000_S1,32,5,0.1793346405029297,0.8941176470588236,85,walk_w000_S1
walk_w000_S1,33,4,0.24687044322490692,0.891566265060241,83,walk_w000_S1
walk_w000_S1,34,1,0.32633423805236816,1.0,29,walk_w000_S1
walk_w000_S1,35,3,0.13749879598617554,0.9120879120879121,91,walk_w000_S1
walk_w000_S1,36,8,0.28089138865470886,0.8488372093023255,86,walk_w000_S1
walk_w000_S1,37,3,0.18983638286590576,0.8970588235294118,68,walk_w000_S1
walk_w000_S1,38,2,0.14361980557441711,0.9438202247191011,89,walk_w000_S1
walk_w000_S1,39,0,,1.0,12,walk_w000_S1
walk_w000_S1,40,1,0.08785587549209595,0.9529411764705882,85,walk_w000_S1
walk_w000_S1,41,1,0.1259777545928955,0.9090909090909091,44,walk_w000_S1
walk_w000_S1,42,0,,0.9444444444444444,18,walk_w000_S1
walk_w000_S1,43,5,0.1516566127538681,0.8404255319148937,94,walk_w000_S1
walk_w000_S1,44,0,,0.9545454545454546,22,walk_w000_S1
walk_w000_S1,45,4,0.16417275369167328,0.9647058823529412,85,walk_w000_S1
walk_w000_S1,46,5,0.18964216113090515,0.967741935483871,62,walk_w000_S1
walk_w000_S1,47,4,0.2572975158691406,0.8292682926829268,82,walk_w000_S1
walk_w000_S1,48,1,0.2474735975265503,0.96,25,walk_w000_S1
walk_w000_S1,49,4,0.1937691867351532,0.8777777777777778,90,walk_w000_S1
walk_w000_S1,50,4,0.1381087750196457,0.9484536082474226,97,walk_w000_S1
walk_w000_S1,51,2,0.1715172529220581,0.9642857142857143,28,walk_w000_S1
walk_w000_S1,52,6,0.19798588752746582,0.9354838709677419,93,walk_w000_S1
walk_w000_S1,53,0,,0.95,100,walk_w000_S1
walk_w000_S1,54,3,0.1289680451154709,0.9302325581395349,86,walk_w000_S1
walk_w000_S1,55,1,0.29447758197784424,1.0,21,walk_w000_S1
walk_w000_S1,56,1,0.21013498306274414,1.0,33,walk_w000_S1
walk_w000_S1,57,2,0.08547532558441162,0.9021739130434783,92,walk_w000_S1
walk_w000_S1,58,0,,1.0,8,walk_w000_S1
walk_w000_S1,59,3,0.11366275697946548,0.9361702127659575,94,walk_w000_S1
walk_w000_S1,60,1,0.16096258163452148,0.96875,32,walk_w000_S1
walk_w000_S1,61,1,0.09721344709396362,0.8292682926829268,41,walk_w000_S1
walk_w000_S1,62,4,0.17523492872714996,0.8936170212765957,94,walk_w000_S1
walk_w000_S1,63,0,,1.0,26,walk_w000_S1
walk_w000_S1,64,4,0.13854333758354187,0.8876404494382022,89,walk_w000_S1
walk_w000_S1,65,1,0.1297053098678589,0.9322033898305084,59,walk_w000_S1
walk_w000_S1,66,4,0.20610596239566803,0.9195402298850575,87,walk_w000_S1
walk_w000_S1,67,3,0.10989204794168472,0.8541666666666666,96,walk_w000_S1
walk_w000_S1,68,5,0.1964234709739685,0.9545454545454546,66,walk_w000_S1
walk_w000_S1,69,1,0.08263790607452393,0.9577464788732394,71,walk_w000_S1
walk_w000_S1,70,3,0.5575051307678223,1.0,21,walk_w000_S1
walk_w000_S1,71,6,0.19553738832473755,0.9466666666666667,75,walk_w000_S1
walk_w000_S1,72,6,0.19788634777069092,0.8505747126436781,87,walk_w000_S1
walk_w000_S1,73,3,0.1373404860496521,0.8404255319148937,94,walk_w000_S1
walk_w000_S1,74,3,0.17051725089550018,0.9285714285714286,56,walk_w000_S1
walk_w000_S1,75,3,0.1351252943277359,0.9263157894736842,95,walk_w000_S1
walk_w000_S1,76,8,0.3153848350048065,0.9135802469135802,81,walk_w000_S1
walk_w000_S1,77,3,0.2664627730846405,0.9285714285714286,28,walk_w000_S1
walk_w000_S1,78,3,0.1591460108757019,0.9775280898876404,89,walk_w000_S1
walk_w000_S1,79,1,0.11874949932098389,0.9722222222222222,36,walk_w000_S1
walk_w000_S1,80,1,0.18845951557159424,1.0,17,walk_w000_S1
walk_w000_S1,81,0,,1.0,2,walk_w000_S1
walk_w000_S1,82,5,0.177496999502182,0.8390804597701149,87,walk_w000_S1
walk_w000_S1,83,6,0.22420714795589447,0.9069767441860465,86,walk_w000_S1
walk_w000_S1,84,5,0.21942546963691711,0.9634146341463414,82,walk_w000_S1
walk_w000_S1,85,0,,1.0,5,walk_w000_S1
walk_w000_S1,86,4,0.20821934938430786,0.7971014492753623,69,walk_w000_S1
walk_w000_S1,87,1,0.26350951194763184,1.0,33,walk_w000_S1
walk_w000_S1,88,3,0.21588212251663208,0.946236559139785,93,walk_w000_S1
walk_w000_S1,89,4,0.1825612336397171,0.9666666666666667,90,walk_w000_S1
walk_w000_S1,90,0,,1.0,9,walk_w000_S1
walk_w000_S1,91,3,0.12472990900278091,0.9402985074626866,67,walk_w000_S1
walk_w000_S1,92,4,0.12941879034042358,0.9393939393939394,99,walk_w000_S1
walk_w000_S1,93,3,0.14129580557346344,0.9384615384615385,65,walk_w000_S1
walk_w000_S1,94,2,0.20108914375305176,0.961038961038961,77,walk_w000_S1
walk_w000_S1,95,1,0.14541321992874146,0.9166666666666666,12,walk_w000_S1
walk_w000_S1,96,4,0.3263094425201416,0.8831168831168831,77,walk_w000_S1
walk_w000_S1,97,1,0.29556208848953247,1.0,29,walk_w000_S1
walk_w000_S1,98,5,0.2067110240459442,0.8591549295774648,71,walk_w000_S1
walk_w000_S1,99,4,0.15631888806819916,0.8736842105263158,95,walk_w000_S1
walk_w040_S1,0,2,0.35681405663490295,1.0,17,walk_w040_S1
walk_w040_S1,1,4,0.2223694920539856,0.9375,64,walk_w040_S1
walk_w040_S1,2,4,0.20196090638637543,0.9295774647887324,71,walk_w040_S1
walk_w040_S1,3,0,,1.0,8,walk_w040_S1
walk_w040_S1,4,3,0.2702449560165405,0.9382716049382716,81,walk_w040_S1
walk_w040_S1,5,0,,1.0,20,walk_w040_S1
walk_w040_S1,6,1,0.3383808732032776,0.8666666666666667,15,walk_w040_S1
walk_w040_S1,7,2,0.1978713572025299,1.0,49,walk_w040_S1
walk_w040_S1,8,5,0.1622508019208908,0.8829787234042553,94,walk_w040_S1
walk_w040_S1,9,4,0.1959327608346939,0.9247311827956989,93,walk_w040_S1
walk_w040_S1,10,2,0.15438681840896606,0.8571428571428571,63,walk_w040_S1
walk_w040_S1,11,2,0.2863006591796875,0.9655172413793104,29,walk_w040_S1
walk_w040_S1,12,2,0.25652867555618286,0.9607843137254902,51,walk_w040_S1
walk_w040_S1,13,3,0.11782660335302353,0.9347826086956522,92,walk_w040_S1
walk_w040_S1,14,6,0.2760264575481415,0.8823529411764706,85,walk_w040_S1
walk_w040_S1,15,6,0.25787389278411865,0.8452380952380952,84,walk_w040_S1
walk_w040_S1,16,2,0.08072018623352051,0.9381443298969072,97,walk_w040_S1
walk_w040_S1,17,8,0.21672624349594116,0.9,80,walk_w040_S1
walk_w040_S1,18,7,0.40328845381736755,0.9247311827956989,93,walk_w040_S1
walk_w040_S1,19,3,0.1536787897348404,0.9090909090909091,55,walk_w040_S1
walk_w040_S1,20,0,,1.0,6,walk_w040_S1
walk_w040_S1,21,0,,1.0,3,walk_w040_S1
walk_w040_S1,22,8,0.269447386264801,0.8505747126436781,87,walk_w040_S1
walk_w040_S1,23,0,,1.0,1,walk_w040_S1
walk_w040_S1,24,3,0.2075473517179489,0.9247311827956989,93,walk_w040_S1
walk_w040_S1,25,1,0.22606122493743896,1.0,13,walk_w040_S1
walk_w040_S1,26,3,0.15982191264629364,0.8979591836734694,49,walk_w040_S1
walk_w040_S1,27,5,0.35061153769493103,0.918918918918919,37,walk_w040_S1
walk_w040_S1,28,5,0.15913820266723633,0.9318181818181818,88,walk_w040_S1
walk_w040_S1,29,3,0.19683516025543213,0.8059701492537313,67,walk_w040_S1
walk_w040_S1,30,1,0.22036153078079224,1.0,16,walk_w040_S1
walk_w040_S1,31,0,,0.9512195121951219,41,walk_w040_S1
walk_w040_S1,32,3,0.29151397943496704,1.0,31,walk_w040_S1
walk_w040_S1,33,1,0.09493911266326904,0.9032258064516129,31,walk_w040_S1
walk_w040_S1,34,4,0.16455267369747162,0.8941176470588236,85,walk_w040_S1
walk_w040_S1,35,1,0.20402902364730835,1.0,31,walk_w040_S1
walk_w040_S1,36,5,0.3781954348087311,0.9636363636363636,55,walk_w040_S1
walk_w040_S1,37,1,0.17120391130447388,1.0,31,walk_w040_S1
walk_w040_S1,38,3,0.1742471307516098,0.9340659340659341,91,walk_w040_S1
walk_w040_S1,39,3,0.16082406044006348,0.9302325581395349,43,walk_w040_S1
walk_w040_S1,40,0,,0.8947368421052632,38,walk_w040_S1
walk_w040_S1,41,0,,0.9545454545454546,22,walk_w040_S1
walk_w040_S1,42,4,0.14351880550384521,0.9081632653061225,98,walk_w040_S1
walk_w040_S1,43,1,0.3119146227836609,1.0,23,walk_w040_S1
walk_w040_S1,44,0,,1.0,17,walk_w040_S1
walk_w040_S1,45,6,0.18232367932796478,0.9175257731958762,97,walk_w040_S1
walk_w040_S1,46,4,0.138993039727211,0.9489795918367347,98,walk_w040_S1
walk_w040_S1,47,2,0.12128090858459473,0.8625,80,walk_w040_S1
walk_w040_S1,48,3,0.08712675422430038,0.89,100,walk_w040_S1
walk_w040_S1,49,3,0.1374320536851883,0.9347826086956522,92,walk_w040_S1
walk_w040_S1,50,6,0.19905036687850952,0.9230769230769231,91,walk_w040_S1
walk_w040_S1,51,9,0.28173506259918213,0.946236559139785,93,walk_w040_S1
walk_w040_S1,52,2,0.11723169684410095,0.92,75,walk_w040_S1
walk_w040_S1,53,5,0.19942790269851685,0.9534883720930233,86,walk_w040_S1
walk_w040_S1,54,3,0.0844360962510109,0.8924731182795699,93,walk_w040_S1
walk_w040_S1,55,2,0.3135365843772888,0.9354838709677419,31,walk_w040_S1
walk_w040_S1,56,1,0.45237696170806885,1.0,16,walk_w040_S1
walk_w040_S1,57,3,0.21797026693820953,0.945054945054945,91,walk_w040_S1
walk_w040_S1,58,1,0.26375389099121094,0.9767441860465116,43,walk_w040_S1
walk_w040_S1,59,5,0.2098407745361328,0.9538461538461539,65,walk_w040_S1
walk_w040_S1,60,6,0.132283553481102,0.9247311827956989,93,walk_w040_S1
walk_w040_S1,61,3,0.13236939907073975,0.8842105263157894,95,walk_w040_S1
walk_w040_S1,62,2,0.2199643850326538,1.0,30,walk_w040_S1
walk_w040_S1,63,4,0.13525554537773132,0.9021739130434783,92,walk_w040_S1
walk_w040_S1,64,7,0.3373582363128662,0.8780487804878049,82,walk_w040_S1
walk_w040_S1,65,6,0.25017696619033813,0.9358974358974359,78,walk_w040_S1
walk_w040_S1,66,3,0.19709981977939606,0.8857142857142857,70,walk_w040_S1
walk_w040_S1,67,5,0.14199136197566986,0.8901098901098901,91,walk_w040_S1
walk_w040_S1,68,4,0.3352462649345398,0.9642857142857143,28,walk_w040_S1
walk_w040_S1,69,3,0.24044449627399445,0.9333333333333333,45,walk_w040_S1
walk_w040_S1,70,5,0.3136504590511322,0.9102564102564102,78,walk_w040_S1
walk_w040_S1,71,0,,1.0,9,walk_w040_S1
walk_w040_S1,72,4,0.12670312821865082,0.9058823529411765,85,walk_w040_S1
walk_w040_S1,73,4,0.1451627016067505,0.9072164948453608,97,walk_w040_S1
walk_w040_S1,74,8,0.22846189141273499,0.851063829787234,94,walk_w040_S1
walk_w040_S1,75,5,0.2920300364494324,0.9,60,walk_w040_S1
walk_w040_S1,76,3,0.11389052867889404,0.9191919191919192,99,walk_w040_S1
walk_w040_S1,77,3,0.2155923992395401,0.9642857142857143,56,walk_w040_S1
walk_w040_S1,78,7,0.3689241111278534,0.8571428571428571,77,walk_w040_S1
walk_w040_S1,79,5,0.22408489882946014,0.8461538461538461,78,walk_w040_S1
walk_w040_S1,80,3,0.2203492373228073,0.96,25,walk_w040_S1
walk_w040_S1,81,1,0.1239960789680481,1.0,40,walk_w040_S1
walk_w040_S1,82,4,0.1576133370399475,0.8936170212765957,94,walk_w040_S1
walk_w040_S1,83,5,0.1574527621269226,0.9204545454545454,88,walk_w040_S1
walk_w040_S1,84,6,0.5152050256729126,0.9459459459459459,37,walk_w040_S1
walk_w040_S1,85,4,0.21103334426879883,0.9019607843137255,51,walk_w040_S1
walk_w040_S1,86,5,0.2720784544944763,0.9838709677419355,62,walk_w040_S1
walk_w040_S1,87,0,,1.0,18,walk_w040_S1
walk_w040_S1,88,9,0.25660544633865356,0.9540229885057471,87,walk_w040_S1
walk_w040_S1,89,3,0.1762973666191101,0.8791208791208791,91,walk_w040_S1
walk_w040_S1,90,0,,1.0,9,walk_w040_S1
walk_w040_S1,91,7,0.20740118622779846,0.9052631578947369,95,walk_w040_S1
walk_w040_S1,92,7,0.3692035675048828,0.9104477611940298,67,walk_w040_S1
walk_w040_S1,93,3,0.1506524682044983,0.8387096774193549,93,walk_w040_S1
walk_w040_S1,94,3,0.27550432085990906,0.9444444444444444,90,walk_w040_S1
walk_w040_S1,95,4,0.20822210609912872,0.90625,96,walk_w040_S1
walk_w040_S1,96,3,0.23967628180980682,0.9285714285714286,42,walk_w040_S1
walk_w040_S1,97,4,0.1751668006181717,0.9545454545454546,88,walk_w040_S1
walk_w040_S1,98,3,0.26738449931144714,0.8727272727272727,55,walk_w040_S1
walk_w040_S1,99,2,0.2758445143699646,1.0,21,walk_w040_S1
walk_w070_S1,0,2,0.11077880859375,0.9042553191489362,94,walk_w070_S1
walk_w070_S1,1,5,0.18155831098556519,0.8636363636363636,88,walk_w070_S1
walk_w070_S1,2,4,0.21746066212654114,0.8780487804878049,82,walk_w070_S1
walk_w070_S1,3,0,,1.0,8,walk_w070_S1
walk_w070_S1,4,2,0.17687082290649414,0.9032258064516129,31,walk_w070_S1
walk_w070_S1,5,0,,1.0,20,walk_w070_S1
walk_w070_S1,6,2,0.22013476490974426,0.9215686274509803,51,walk_w070_S1
walk_w070_S1,7,8,0.21441739797592163,0.9239130434782609,92,walk_w070_S1
walk_w070_S1,8,12,0.29237100481987,0.9120879120879121,91,walk_w070_S1
walk_w070_S1,9,2,0.18794217705726624,0.9384615384615385,65,walk_w070_S1
walk_w070_S1,10,2,0.1638929545879364,0.9014084507042254,71,walk_w070_S1
walk_w070_S1,11,4,0.20551472902297974,0.9512195121951219,82,walk_w070_S1
walk_w070_S1,12,4,0.29728710651397705,0.8833333333333333,60,walk_w070_S1
walk_w070_S1,13,3,0.4146886169910431,0.8863636363636364,88,walk_w070_S1
walk_w070_S1,14,2,0.20492404699325562,1.0,35,walk_w070_S1
walk_w070_S1,15,2,0.09767261147499084,0.8571428571428571,98,walk_w070_S1
walk_w070_S1,16,1,0.14695203304290771,0.9545454545454546,44,walk_w070_S1
walk_w070_S1,17,3,0.204303577542305,0.9125,80,walk_w070_S1
walk_w070_S1,18,3,0.18411226570606232,0.9368421052631579,95,walk_w070_S1
walk_w070_S1,19,2,0.3071270287036896,0.9117647058823529,34,walk_w070_S1
walk_w070_S1,20,0,,1.0,2,walk_w070_S1
walk_w070_S1,21,5,0.2774246335029602,0.8913043478260869,92,walk_w070_S1
walk_w070_S1,22,2,0.19252139329910278,0.8536585365853658,41,walk_w070_S1
walk_w070_S1,23,3,0.3428628444671631,0.9655172413793104,29,walk_w070_S1
walk_w070_S1,24,4,0.14534999430179596,0.9565217391304348,69,walk_w070_S1
walk_w070_S1,25,5,0.1760600507259369,0.9294117647058824,85,walk_w070_S1
walk_w070_S1,26,2,0.16709738969802856,0.9310344827586207,29,walk_w070_S1
walk_w070_S1,27,3,0.1250758022069931,0.9038461538461539,52,walk_w070_S1
walk_w070_S1,28,6,0.2502230405807495,0.9195402298850575,87,walk_w070_S1
walk_w070_S1,29,1,0.11989283561706543,0.9565217391304348,23,walk_w070_S1
walk_w070_S1,30,6,0.20988605916500092,0.8736842105263158,95,walk_w070_S1
walk_w070_S1,31,5,0.17969366908073425,0.8888888888888888,90,walk_w070_S1
walk_w070_S1,32,6,0.16373814642429352,0.9444444444444444,90,walk_w070_S1
walk_w070_S1,33,1,0.09493911266326904,0.9032258064516129,31,walk_w070_S1
walk_w070_S1,34,4,0.128117635846138,0.9529411764705882,85,walk_w070_S1
walk_w070_S1,35,2,0.1846354901790619,0.9152542372881356,59,walk_w070_S1
walk_w070_S1,36,8,0.2786480784416199,0.9294117647058824,85,walk_w070_S1
walk_w070_S1,37,7,0.24246998131275177,0.925531914893617,94,walk_w070_S1
walk_w070_S1,38,4,0.2324935495853424,0.9024390243902439,41,walk_w070_S1
walk_w070_S1,39,6,0.2555708587169647,0.9180327868852459,61,walk_w070_S1
walk_w070_S1,40,3,0.21249455213546753,0.9069767441860465,43,walk_w070_S1
walk_w070_S1,41,1,0.1028292179107666,0.9655172413793104,58,walk_w070_S1
walk_w070_S1,42,1,0.2836606502532959,1.0,19,walk_w070_S1
walk_w070_S1,43,3,0.1191844567656517,0.95,80,walk_w070_S1
walk_w070_S1,44,5,0.27880534529685974,0.8735632183908046,87,walk_w070_S1
walk_w070_S1,45,2,0.2978259325027466,0.9518072289156626,83,walk_w070_S1
walk_w070_S1,46,4,0.16972008347511292,0.9,70,walk_w070_S1
walk_w070_S1,47,5,0.13514772057533264,0.8901098901098901,91,walk_w070_S1
walk_w070_S1,48,2,0.42850661277770996,1.0,23,walk_w070_S1
walk_w070_S1,49,3,0.11543762683868408,0.9230769230769231,91,walk_w070_S1
walk_w070_S1,50,1,0.05429619550704956,0.9285714285714286,98,walk_w070_S1
walk_w070_S1,51,1,0.09904199838638306,0.9354838709677419,93,walk_w070_S1
walk_w070_S1,52,2,0.07823896408081055,0.9166666666666666,96,walk_w070_S1
walk_w070_S1,53,3,0.17800669372081757,0.8297872340425532,47,walk_w070_S1
walk_w070_S1,54,4,0.1379091888666153,0.9285714285714286,98,walk_w070_S1
walk_w070_S1,55,3,0.201865091919899,0.9484536082474226,97,walk_w070_S1
walk_w070_S1,56,3,0.40914711356163025,0.9,20,walk_w070_S1
walk_w070_S1,57,4,0.14777028560638428,0.9583333333333334,96,walk_w070_S1
